Algorithm,DataType,Size,Time
Bubble,Random,1000,0.02329421043395996
Selection,Random,1000,0.014020204544067383
Insertion,Random,1000,0.013893842697143555
Merge,Random,1000,0.0014920234680175781
Bubble,Sorted,1000,0.04131603240966797
Selection,Sorted,1000,0.01262521743774414
Insertion,Sorted,1000,6.198883056640625e-05
Merge,Sorted,1000,0.0005888938903808594
Bubble,Reverse,1000,0.026484966278076172
Selection,Reverse,1000,0.010289907455444336
Insertion,Reverse,1000,0.017683982849121094
Merge,Reverse,1000,0.0005948543548583984
Bubble,Partial,1000,0.013782978057861328
Selection,Partial,1000,0.009902715682983398
Insertion,Partial,1000,0.00234222412109375
Merge,Partial,1000,0.0007739067077636719
Bubble,Random,5000,0.5903310775756836
Selection,Random,5000,0.2530660629272461
Insertion,Random,5000,0.2602980136871338
Merge,Random,5000,0.0051457881927490234
Bubble,Sorted,5000,0.33901119232177734
Selection,Sorted,5000,0.24782800674438477
Insertion,Sorted,5000,0.0002789497375488281
Merge,Sorted,5000,0.0032930374145507812
Bubble,Reverse,5000,0.7277491092681885
Selection,Reverse,5000,0.2532539367675781
Insertion,Reverse,5000,0.4775390625
Merge,Reverse,5000,0.0033791065216064453
Bubble,Partial,5000,0.3959932327270508
Selection,Partial,5000,0.24678874015808105
Insertion,Partial,5000,0.060922861099243164
Merge,Partial,5000,0.004568815231323242
Bubble,Random,10000,2.5156478881835938
Selection,Random,10000,1.01761794090271
Insertion,Random,10000,1.0388851165771484
Merge,Random,10000,0.011192798614501953
Bubble,Sorted,10000,1.3784739971160889
Selection,Sorted,10000,0.9823248386383057
Insertion,Sorted,10000,0.0005311965942382812
Merge,Sorted,10000,0.0070209503173828125
Bubble,Reverse,10000,2.987575054168701
Selection,Reverse,10000,1.034848928451538
Insertion,Reverse,10000,1.9966669082641602
Merge,Reverse,10000,0.007303714752197266
Bubble,Partial,10000,1.6312413215637207
Selection,Partial,10000,1.0274710655212402
Insertion,Partial,10000,0.23349809646606445
Merge,Partial,10000,0.009613037109375
Bubble,Random,50000,60.540605783462524
Selection,Random,50000,25.76632809638977
Insertion,Random,50000,25.097822904586792
Merge,Random,50000,0.06261110305786133
Bubble,Sorted,50000,35.25130486488342
Selection,Sorted,50000,24.588956832885742
Insertion,Sorted,50000,0.002650022506713867
Merge,Sorted,50000,0.038848876953125
Bubble,Reverse,50000,77.1289370059967
Selection,Reverse,50000,25.81738805770874
Insertion,Reverse,50000,49.89587116241455
Merge,Reverse,50000,0.03973722457885742
Bubble,Partial,50000,42.79376697540283
Selection,Partial,50000,24.94369626045227
Insertion,Partial,50000,5.870791912078857
Merge,Partial,50000,0.05683612823486328
